component_group_id,vendor,name
1,AMD,AM3 Athlon II X2 245
1,AMD,AM3+ FX-4300 Vishera
1,AMD,AM3+ FX-4300 Vishera
1,AMD,AM3+ FX-Series X4 4100
1,AMD,AM3+ FX-Series X4 4130
1,AMD,AM3+ FX-Series X6 6120
1,AMD,AM3+ FX-Series X8 8150
1,AMD,AM3+ FX-Series X8 8350
1,AMD,AM3+ FX-Series X8 8350
1,AMD,FM1 A6 X3 3500
1,AMD,FM1 A6 X3 3500
1,AMD,FM1 A6 X4 3670K
1,AMD,FM1 A8 X4 3870K
1,AMD,FM2 A10-5800K
1,AMD,FM2 A10-6700
1,AMD,FM2 A4 X2 5300
1,AMD,FM2 A4-5300
1,AMD,FM2 A6-5400K
1,AMD,FM2 A8-5600K
1,AMD,FM2 A8-6500
1,AMD,FM2 A8-6600K
1,AMD,FM2 Athlon II X2 340
1,Intel,Celeron E3300
1,Intel,Celeron G1610
1,Intel,Celeron G1620
1,Intel,Celeron G470
1,Intel,Core 2 Duo E7500
1,Intel,Core i3-2120
1,Intel,Core i3-3210
1,Intel,Core i3-3210
1,Intel,Core i3-3220
1,Intel,Core i3-3220
1,Intel,Core i3-3225
1,Intel,Core i3-3225
1,Intel,Core i3-3240
1,Intel,Core i3-3240
1,Intel,Core i3-3245
1,Intel,Core i3-3245
1,Intel,Core i3-3250
1,Intel,Core i3-3250
1,Intel,Core i3-4130
1,Intel,Core i3-4130
1,Intel,Core i3-4330
1,Intel,Core i3-4330
1,Intel,Core i5-3330
1,Intel,Core i5-3340
1,Intel,Core i5-3470
1,Intel,Core i5-3470
1,Intel,Core i5-3550
1,Intel,Core i5-3550
1,Intel,Core i5-3570
1,Intel,Core i5-3570
1,Intel,Core i5-3570K
1,Intel,Core i5-3570K
1,Intel,Core i5-3570T
1,Intel,Core i5-4430
1,Intel,Core i5-4430
1,Intel,Core i5-4440
1,Intel,Core i5-4440
1,Intel,Core i5-4570
1,Intel,Core i5-4570
1,Intel,Core i5-4670
1,Intel,Core i5-4670
1,Intel,Core i5-4670K
1,Intel,Core i5-4670K
1,Intel,Core i7-3770
1,Intel,Core i7-3770
1,Intel,Core i7-3770K
1,Intel,Core i7-3770K
1,Intel,Core i7-3770T
1,Intel,Core i7-3820
1,Intel,Core i7-3820
1,Intel,Core i7-3930K
1,Intel,Core i7-4765T
1,Intel,Core i7-4770
1,Intel,Core i7-4770
1,Intel,Core i7-4770K
1,Intel,Core i7-4770K
1,Intel,Core i7-4771
1,Intel,Core i7-4771
1,Intel,Core i7-4820K
1,Intel,Core i7-4820K
1,Intel,Core i7-4930K
1,Intel,Core i7-4960X Extreme Edition
1,Intel,Core i7-920
1,Intel,Core i7-950
1,Intel,Pentium G2010
1,Intel,Pentium G2020
1,Intel,Pentium G2030
1,Intel,Pentium G2120
1,Intel,Pentium G2120
1,Intel,Pentium G2130
1,Intel,Pentium G2130
1,Intel,Pentium G2140
1,Intel,Pentium G2140
1,Intel,Pentium G3220
1,Intel,Pentium G3420
1,Intel,Pentium G3420
1,Intel,Pentium G3430
1,Intel,Pentium G620
1,Intel,Pentium G630
1,Intel,Pentium G640
1,Intel,Pentium G645
1,Intel,Pentium G860
5,ASRock,775i65G
5,ASRock,960GM-VGS3 FX
5,ASRock,AD2550-ITX-ITX
5,ASRock,B75M
5,ASRock,B75M-DGS
5,ASRock,B75M-GL R2.0
5,ASRock,B75M-ITX
5,ASRock,B85 PRO4
5,ASRock,B85M
5,ASRock,B85M PRO4
5,ASRock,B85M-GL
5,ASRock,B85M-HDS
5,ASRock,B85M-ITX
5,ASRock,E35LM1
5,ASRock,FM2A55M-DGS
5,ASRock,FM2A55M-VG3
5,ASRock,G31M-GS
5,ASRock,H61M-DGS
5,ASRock,H61M-ITX
5,ASRock,H61M-VG3
5,ASRock,H61M-VG4
5,ASRock,H61MV-ITX
5,ASRock,H77M
5,ASRock,H77M-ITX
5,ASRock,H81M
5,ASRock,H81M-DGS
5,ASRock,H81M-GL
5,ASRock,H81M-HDS
5,ASRock,H87M
5,ASRock,H87M PRO4
5,ASRock,H87M-ITX
5,ASRock,P67 EXTREME6
5,ASRock,Q87M VPRO
5,ASRock,Z75 PRO3
5,ASRock,Z77 EXTREME11
5,ASRock,Z77 PROFESSIONAL-M
5,ASRock,Z77E-ITX
5,ASRock,Z77M
5,ASRock,Z87 EXTREME9/AC
5,ASRock,Z87 Extreme 6
5,ASRock,Z87 OC Formula
5,ASRock,Z87 OC Formula/AC
5,ASRock,Z87 PRO4
5,ASRock,Z87 Pro 3
5,ASRock,Z87E-ITX
5,ASRock,Z87M OC Formula
5,ASRock,Z87M Pro 4
5,ASUS,B75M-A B75
5,ASUS,B75M-A/SI B75
5,ASUS,B85-PLUS
5,ASUS,B85M-E
5,ASUS,B85M-G
5,ASUS,C8HM70-I/HDMI
5,ASUS,F1A55-M LE R2.0
5,ASUS,F2A55
5,ASUS,F2A55-M LE
5,ASUS,F2A55-M LK2 PLUS
5,ASUS,GRYPHON
5,ASUS,H61M-E
5,ASUS,H61M-K
5,ASUS,H81-PLUS
5,ASUS,H81I-PLUS
5,ASUS,H81M-A
5,ASUS,H81M-C
5,ASUS,H81M-E
5,ASUS,H87-PLUS
5,ASUS,H87-PRO
5,ASUS,H87I-PLUS
5,ASUS,H87M-E
5,ASUS,H87M-PLUS
5,ASUS,H87M-PRO
5,ASUS,MAXIMUS VI FORMULA
5,ASUS,MAXIMUS VI GENE
5,ASUS,MAXIMUS VI HERO
5,ASUS,MAXIMUS VI IMPACT
5,ASUS,P8B75-M LE B75
5,ASUS,P8H61-I
5,ASUS,P8H61-I LX R2.0
5,ASUS,P8H61-M LX3 PLUS R2.0
5,ASUS,P8H61-M LX3 R2.0/C/SI
5,ASUS,P8H67-I DELUXE
5,ASUS,P8H77-V LE
5,ASUS,P8Z77-V LX2/C/SI
5,ASUS,P9X79
5,ASUS,P9X79 LE/C/SI
5,ASUS,P9X79 PRO
5,ASUS,P9X79-E WS
5,ASUS,Rampage IV Extreme
5,ASUS,Rampage IV GENE
5,ASUS,SABERTOOTH
5,ASUS,VANGUARD
5,ASUS,Z77-A
5,ASUS,Z87-A
5,ASUS,Z87-C
5,ASUS,Z87-DELUXE
5,ASUS,Z87-EXPERT
5,ASUS,Z87-K
5,ASUS,Z87-PLUS
5,ASUS,Z87-PRO
5,ASUS,Z87-WS
5,ASUS,Z87I-PRO
5,ASUS,Z87M-PLUS
5,Gigabyte,G1.SNIPER 5
5,Gigabyte,GA-78LMT-S2P
5,Gigabyte,GA-970A-DS3P
5,Gigabyte,GA-970A-UD3
5,Gigabyte,GA-990FXA-UD5
5,Gigabyte,GA-990XA-UD3
5,Gigabyte,GA-B75M-D2V
5,Gigabyte,GA-B75M-D3P
5,Gigabyte,GA-B75M-D3V
5,Gigabyte,GA-B85-HD3
5,Gigabyte,GA-B85M-D3H
5,Gigabyte,GA-B85M-HD3
5,Gigabyte,GA-C1007UN
5,Gigabyte,GA-C807N
5,Gigabyte,GA-F2A55M-DS2
5,Gigabyte,GA-H61M-D2H-USB3
5,Gigabyte,GA-H61M-DS2
5,Gigabyte,GA-H61M-S1
5,Gigabyte,GA-H77-D3H
5,Gigabyte,GA-H77-DS3H
5,Gigabyte,GA-H77M-D3H
5,Gigabyte,GA-H77M-HD3
5,Gigabyte,GA-H77N-WIFI
5,Gigabyte,GA-H81-D3
5,Gigabyte,GA-H81M-D2V
5,Gigabyte,GA-H81M-DS2
5,Gigabyte,GA-H81M-HD3
5,Gigabyte,GA-H81M-S2PV
5,Gigabyte,GA-H87-D3H
5,Gigabyte,GA-H87-HD3
5,Gigabyte,GA-H87M-D3H
5,Gigabyte,GA-H87M-HD3
5,Gigabyte,GA-H87N-WIFI
5,Gigabyte,GA-X79-UP4
5,Gigabyte,GA-Z77-D3H
5,Gigabyte,GA-Z77-HD3
5,Gigabyte,GA-Z77M-D3H
5,Gigabyte,GA-Z77P-D3
5,Gigabyte,GA-Z77X-D3H
5,Gigabyte,GA-Z77X-UD3H
5,Gigabyte,GA-Z77X-UP7
5,Gigabyte,GA-Z87-D3HP
5,Gigabyte,GA-Z87M-D3H
5,Gigabyte,GA-Z87M-HD3
5,Gigabyte,GA-Z87MX-D3H
5,Gigabyte,GA-Z87N-WIFI
5,Gigabyte,GA-Z87P-D3
5,Gigabyte,GA-Z87X-D3H
5,Gigabyte,GA-Z87X-OC
5,Gigabyte,GA-Z87X-OC FORCE
5,Gigabyte,GA-Z87X-UD3H
5,Gigabyte,GA-Z87X-UD4H
5,MSI,B75IA-E33
5,MSI,B85M-P33
5,MSI,H81M-P32
5,MSI,H81M-P33
5,MSI,H87I
5,MSI,H87M-E33
5,MSI,Z87-G41 PC Mate
5,MSI,Z87-G43
5,MSI,Z87-GD65 GAMING
5,MSI,Z87I
5,Zotac,880GITX-A-E WiFi
5,Zotac,Z68ITX-B-E WiFi
